"kpi","time_grouping","space_boundary","space_grouping","avg_sites_reporting","est_uncertainty"
104,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 261, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.238661, 5.525591], [-0.233953, 5.53809], [-0.233488, 5.538514], [-0.2327, 5.538552], [-0.231819, 5.538509], [-0.230947, 5.53838], [-0.230092, 5.538167], [-0.229262, 5.537872], [-0.228465, 5.537497], [-0.227709, 5.537045], [-0.227001, 5.536523], [-0.226348, 5.535933], [-0.225756, 5.535283], [-0.225231, 5.534579], [-0.224778, 5.533826], [-0.224401, 5.533033], [-0.224104, 5.532207], [-0.223889, 5.531355], [-0.22376, 5.530487], [-0.223717, 5.529611], [-0.22376, 5.528735], [-0.223889, 5.527867], [-0.224104, 5.527015], [-0.224401, 5.526189], [-0.224778, 5.525396], [-0.225231, 5.524643], [-0.225756, 5.523939], [-0.226348, 5.523288], [-0.227001, 5.522699], [-0.227709, 5.522176], [-0.228465, 5.521725], [-0.229262, 5.52135], [-0.230092, 5.521055], [-0.230947, 5.520841], [-0.231819, 5.520713], [-0.2327, 5.52067], [-0.233581, 5.520713], [-0.234453, 5.520841], [-0.235308, 5.521055], [-0.236138, 5.52135], [-0.236935, 5.521725], [-0.237691, 5.522176], [-0.238306, 5.52263], [-0.238661, 5.525591]]]}}",261,0.973,1
139,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 130, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.167176, 5.858733], [-0.155105, 5.864702], [-0.154766, 5.864397], [-0.154174, 5.863747], [-0.153649, 5.863042], [-0.153195, 5.86229], [-0.152818, 5.861497], [-0.152521, 5.860672], [-0.152307, 5.859821], [-0.152178, 5.858954], [-0.152135, 5.858078], [-0.152178, 5.857202], [-0.152307, 5.856334], [-0.152521, 5.855484], [-0.152818, 5.854658], [-0.153195, 5.853865], [-0.153649, 5.853113], [-0.154174, 5.852409], [-0.154766, 5.851759], [-0.155419, 5.85117], [-0.156127, 5.850647], [-0.156366, 5.850505], [-0.160913, 5.851946], [-0.167176, 5.858733]]]}}",130,0.896,1
235,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 340, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.083895, 6.016315], [-0.06889, 6.011706], [-0.068903, 6.011455], [-0.069032, 6.010588], [-0.069246, 6.009738], [-0.069543, 6.008912], [-0.06992, 6.00812], [-0.070374, 6.007368], [-0.070899, 6.006664], [-0.071491, 6.006014], [-0.072144, 6.005425], [-0.072852, 6.004903], [-0.073171, 6.004713], [-0.083895, 6.016315]]]}}",340,0.977,1
51.3,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 247, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.22322, 5.583725], [-0.220118, 5.58261], [-0.219658, 5.582014], [-0.219368, 5.580579], [-0.219635, 5.580028], [-0.227392, 5.576645], [-0.229696, 5.581368], [-0.22322, 5.583725]]]}}",247,0.982,1
299,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 50, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.260523, 5.649223], [-0.263936, 5.655606], [-0.255119, 5.662168], [-0.254999, 5.662097], [-0.254291, 5.661574], [-0.253638, 5.660985], [-0.253046, 5.660335], [-0.252521, 5.65963], [-0.252068, 5.658878], [-0.251691, 5.658085], [-0.251394, 5.657259], [-0.251351, 5.657091], [-0.251717, 5.656232], [-0.259095, 5.648596], [-0.260523, 5.649223]]]}}",50,0.983,1
153,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 451, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.239516, 5.615933], [-0.238457, 5.616257], [-0.233564, 5.61466], [-0.23267, 5.614003], [-0.233125, 5.612053], [-0.237471, 5.607131], [-0.238496, 5.606405], [-0.239013, 5.606135], [-0.23919, 5.606115], [-0.241587, 5.611541], [-0.239516, 5.615933]]]}}",451,0.973,1
368,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 131, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.280573, 5.776054], [-0.280702, 5.775186], [-0.280917, 5.774336], [-0.281214, 5.77351], [-0.281591, 5.772717], [-0.282044, 5.771965], [-0.282569, 5.77126], [-0.283161, 5.77061], [-0.283814, 5.770021], [-0.284522, 5.769499], [-0.285278, 5.769048], [-0.286075, 5.768673], [-0.286905, 5.768377], [-0.28776, 5.768164], [-0.288632, 5.768035], [-0.289513, 5.767992], [-0.290394, 5.768035], [-0.291266, 5.768164], [-0.292121, 5.768377], [-0.292951, 5.768673], [-0.293748, 5.769048], [-0.294504, 5.769499], [-0.295212, 5.770021], [-0.295865, 5.77061], [-0.296457, 5.77126], [-0.296982, 5.771965], [-0.297435, 5.772717], [-0.297812, 5.77351], [-0.298109, 5.774336], [-0.298324, 5.775186], [-0.298453, 5.776054], [-0.298496, 5.77693], [-0.298453, 5.777806], [-0.298324, 5.778674], [-0.298109, 5.779524], [-0.297812, 5.78035], [-0.297435, 5.781143], [-0.296982, 5.781895], [-0.296457, 5.7826], [-0.295865, 5.78325], [-0.295212, 5.783839], [-0.294504, 5.784361], [-0.293748, 5.784812], [-0.292951, 5.785187], [-0.292121, 5.785483], [-0.291266, 5.785696], [-0.290394, 5.785824], [-0.289513, 5.785867], [-0.288632, 5.785824], [-0.28776, 5.785696], [-0.286905, 5.785483], [-0.286075, 5.785187], [-0.285278, 5.784812], [-0.284522, 5.784361], [-0.283814, 5.783839], [-0.283161, 5.78325], [-0.282569, 5.7826], [-0.282044, 5.781895], [-0.281591, 5.781143], [-0.281214, 5.78035], [-0.280917, 5.779524], [-0.280702, 5.778674], [-0.280573, 5.777806], [-0.28053, 5.77693], [-0.280573, 5.776054]]]}}",131,0.979,1
271,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 472, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.258634, 5.539801], [-0.255118, 5.541116], [-0.252548, 5.534851], [-0.256085, 5.532749], [-0.261466, 5.534806], [-0.261654, 5.537768], [-0.258634, 5.539801]]]}}",472,0.982,1
211,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 449, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.288176, 5.632293], [-0.287917, 5.632258], [-0.283782, 5.626426], [-0.289413, 5.622954], [-0.293341, 5.626456], [-0.288176, 5.632293]]]}}",449,0.983,1
132,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 23, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.240494, 5.641386], [-0.238692, 5.632969], [-0.242314, 5.631151], [-0.24767, 5.635936], [-0.240628, 5.641457], [-0.240494, 5.641386]]]}}",23,0.982,1
210,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 20, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.203665, 5.69742], [-0.203794, 5.696552], [-0.204009, 5.695701], [-0.204306, 5.694875], [-0.204683, 5.694082], [-0.205136, 5.69333], [-0.205661, 5.692625], [-0.206253, 5.691975], [-0.206906, 5.691386], [-0.207614, 5.690864], [-0.20837, 5.690413], [-0.209167, 5.690038], [-0.209997, 5.689742], [-0.210852, 5.689529], [-0.211724, 5.6894], [-0.212605, 5.689357], [-0.213486, 5.6894], [-0.214358, 5.689529], [-0.215213, 5.689742], [-0.216043, 5.690038], [-0.21684, 5.690413], [-0.217596, 5.690864], [-0.218304, 5.691386], [-0.218957, 5.691975], [-0.219549, 5.692625], [-0.220074, 5.69333], [-0.220527, 5.694082], [-0.220904, 5.694875], [-0.221201, 5.695701], [-0.221416, 5.696552], [-0.221545, 5.69742], [-0.221588, 5.698296], [-0.221545, 5.699172], [-0.221416, 5.70004], [-0.221201, 5.700891], [-0.220904, 5.701717], [-0.220527, 5.70251], [-0.220074, 5.703262], [-0.219549, 5.703967], [-0.218957, 5.704617], [-0.218304, 5.705206], [-0.217596, 5.705728], [-0.21684, 5.706179], [-0.216043, 5.706554], [-0.215213, 5.70685], [-0.214358, 5.707063], [-0.213486, 5.707192], [-0.212605, 5.707235], [-0.211724, 5.707192], [-0.210852, 5.707063], [-0.209997, 5.70685], [-0.209167, 5.706554], [-0.20837, 5.706179], [-0.207614, 5.705728], [-0.206906, 5.705206], [-0.206253, 5.704617], [-0.205661, 5.703967], [-0.205136, 5.703262], [-0.204683, 5.70251], [-0.204306, 5.701717], [-0.204009, 5.700891], [-0.203794, 5.70004], [-0.203665, 5.699172], [-0.203622, 5.698296], [-0.203665, 5.69742]]]}}",20,0.979,1
495,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 415, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.29087, 5.68067], [-0.285193, 5.676801], [-0.283635, 5.670968], [-0.284127, 5.669828], [-0.285085, 5.669326], [-0.294957, 5.673384], [-0.295248, 5.673799], [-0.29087, 5.68067]]]}}",415,0.981,1
140,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 350, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.241484, 5.58419], [-0.236589, 5.595143], [-0.23494, 5.594969], [-0.233658, 5.591538], [-0.235769, 5.586862], [-0.241294, 5.583921], [-0.241484, 5.58419]]]}}",350,0.979,1
62.4,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 88, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.251484, 5.558362], [-0.249117, 5.557243], [-0.247057, 5.552683], [-0.248184, 5.548605], [-0.249842, 5.547719], [-0.252105, 5.556614], [-0.251484, 5.558362]]]}}",88,0.979,1
101,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 385, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.23919, 5.606115], [-0.239013, 5.606135], [-0.231128, 5.599274], [-0.231051, 5.597901], [-0.23494, 5.594969], [-0.236589, 5.595143], [-0.237838, 5.595716], [-0.239949, 5.605324], [-0.23919, 5.606115]]]}}",385,0.983,1
79.7,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 108, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.188062, 5.595764], [-0.182822, 5.587083], [-0.182851, 5.586884], [-0.183066, 5.586033], [-0.183363, 5.585207], [-0.18374, 5.584413], [-0.183916, 5.584121], [-0.194406, 5.585358], [-0.191484, 5.592238], [-0.188062, 5.595764]]]}}",108,0.975,1
175,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 374, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.306635, 5.612988], [-0.306723, 5.613338], [-0.306852, 5.614206], [-0.306896, 5.615082], [-0.306852, 5.615958], [-0.306741, 5.616706], [-0.295257, 5.617204], [-0.294579, 5.61676], [-0.294151, 5.614921], [-0.303351, 5.609038], [-0.306635, 5.612988]]]}}",374,0.961,1
147,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 323, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.26149, 5.531206], [-0.271292, 5.525604], [-0.271976, 5.529892], [-0.261712, 5.534209], [-0.26149, 5.531206]]]}}",323,0.983,1
173,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 106, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.279841, 5.609945], [-0.274841, 5.613783], [-0.273388, 5.613425], [-0.27133, 5.611436], [-0.272619, 5.607568], [-0.275677, 5.605585], [-0.278207, 5.606248], [-0.279841, 5.609945]]]}}",106,0.963,1
148,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 200, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.173068, 5.706249], [-0.17405, 5.70631], [-0.174186, 5.706595], [-0.174483, 5.707421], [-0.174697, 5.708272], [-0.174826, 5.70914], [-0.174869, 5.710016], [-0.174826, 5.710892], [-0.174697, 5.71176], [-0.174483, 5.712611], [-0.174186, 5.713437], [-0.173809, 5.71423], [-0.173355, 5.714982], [-0.17283, 5.715686], [-0.172238, 5.716336], [-0.171585, 5.716925], [-0.170877, 5.717448], [-0.170121, 5.717899], [-0.169324, 5.718274], [-0.168494, 5.71857], [-0.167639, 5.718783], [-0.166767, 5.718911], [-0.165886, 5.718954], [-0.165006, 5.718911], [-0.164134, 5.718783], [-0.163279, 5.71857], [-0.162448, 5.718274], [-0.161652, 5.717899], [-0.160895, 5.717448], [-0.160187, 5.716925], [-0.159534, 5.716336], [-0.158942, 5.715686], [-0.158417, 5.714982], [-0.157964, 5.71423], [-0.157587, 5.713437], [-0.15729, 5.712611], [-0.157076, 5.71176], [-0.156946, 5.710892], [-0.156909, 5.710137], [-0.173068, 5.706249]]]}}",200,0.785,1
152,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 161, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.234798, 5.65415], [-0.234484, 5.654381], [-0.233728, 5.654832], [-0.232931, 5.655207], [-0.232101, 5.655503], [-0.231246, 5.655716], [-0.230374, 5.655844], [-0.229494, 5.655887], [-0.228613, 5.655844], [-0.227741, 5.655716], [-0.226886, 5.655503], [-0.226469, 5.655354], [-0.224078, 5.647062], [-0.228601, 5.640217], [-0.232333, 5.641465], [-0.234798, 5.65415]]]}}",161,0.966,1
261,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 68, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.259871, 5.611539], [-0.259066, 5.615747], [-0.254941, 5.616748], [-0.253607, 5.616303], [-0.252735, 5.61431], [-0.258393, 5.609242], [-0.258487, 5.609244], [-0.259871, 5.611539]]]}}",68,0.983,1
92.5,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 151, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.207079, 5.577986], [-0.20537, 5.583452], [-0.199734, 5.58638], [-0.197091, 5.584878], [-0.194844, 5.575841], [-0.202841, 5.576249], [-0.206306, 5.577218], [-0.207079, 5.577986]]]}}",151,0.874,1
149,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 457, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.339739, 5.573582], [-0.343004, 5.57269], [-0.343496, 5.572542], [-0.34384, 5.572365], [-0.344452, 5.572034], [-0.344896, 5.571805], [-0.345098, 5.5715], [-0.345216, 5.571192], [-0.345347, 5.571029], [-0.345262, 5.570788], [-0.345081, 5.570426], [-0.344818, 5.570073], [-0.344655, 5.569951], [-0.344452, 5.569832], [-0.344262, 5.569718], [-0.344001, 5.569562], [-0.343647, 5.56945], [-0.343414, 5.569353], [-0.342254, 5.570861], [-0.342023, 5.57118], [-0.341845, 5.571083], [-0.341717, 5.571028], [-0.341582, 5.570971], [-0.341258, 5.570883], [-0.340939, 5.570888], [-0.340866, 5.57089], [-0.340423, 5.570844], [-0.34021, 5.570792], [-0.339792, 5.570549], [-0.339689, 5.570473], [-0.339526, 5.57038], [-0.339413, 5.570311], [-0.339219, 5.570252], [-0.338781, 5.570246], [-0.338433, 5.570279], [-0.338204, 5.570343], [-0.338154, 5.570345], [-0.338164, 5.570501], [-0.338104, 5.571235], [-0.338101, 5.571362], [-0.338099, 5.571444], [-0.338115, 5.57156], [-0.338172, 5.571795], [-0.338268, 5.572044], [-0.338435, 5.572281], [-0.338563, 5.572465], [-0.338731, 5.572706], [-0.338854, 5.572835], [-0.338987, 5.572941], [-0.339342, 5.573158], [-0.339533, 5.573316], [-0.339739, 5.573582]]]}}",457,0.980,1
131,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 180, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.175161, 5.646857], [-0.176545, 5.645917], [-0.177524, 5.644568], [-0.17702, 5.644135], [-0.176838, 5.643978], [-0.176783, 5.643642], [-0.176734, 5.643532], [-0.17644, 5.64325], [-0.176247, 5.642821], [-0.176141, 5.642516], [-0.175483, 5.642525], [-0.174942, 5.642533], [-0.174204, 5.642545], [-0.173588, 5.642555], [-0.172756, 5.642568], [-0.172866, 5.643101], [-0.173036, 5.643953], [-0.173195, 5.644786], [-0.173355, 5.645479], [-0.173597, 5.646357], [-0.173994, 5.646891], [-0.175161, 5.646857]]]}}",180,0.983,1
261,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 456, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.303899, 5.636063], [-0.296318, 5.635597], [-0.296745, 5.629506], [-0.301529, 5.629191], [-0.304685, 5.633087], [-0.303899, 5.636063]]]}}",456,0.983,1
91.7,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 431, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.199734, 5.58638], [-0.199617, 5.588308], [-0.191484, 5.592238], [-0.194406, 5.585358], [-0.197091, 5.584878], [-0.199734, 5.58638]]]}}",431,0.979,1
998,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 368, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.317401, 5.658117], [-0.317163, 5.657453], [-0.316948, 5.656602], [-0.316819, 5.655734], [-0.316776, 5.654858], [-0.316819, 5.653982], [-0.316948, 5.653114], [-0.317163, 5.652263], [-0.31746, 5.651437], [-0.317837, 5.650644], [-0.31829, 5.649891], [-0.318815, 5.649187], [-0.319407, 5.648537], [-0.32006, 5.647948], [-0.320768, 5.647425], [-0.321524, 5.646974], [-0.322321, 5.646599], [-0.323151, 5.646303], [-0.324006, 5.64609], [-0.324878, 5.645962], [-0.325759, 5.645918], [-0.32664, 5.645962], [-0.327512, 5.64609], [-0.328367, 5.646303], [-0.329197, 5.646599], [-0.329994, 5.646974], [-0.33075, 5.647425], [-0.331458, 5.647948], [-0.332111, 5.648537], [-0.332703, 5.649187], [-0.333228, 5.649891], [-0.333681, 5.650644], [-0.334058, 5.651437], [-0.334355, 5.652263], [-0.33457, 5.653114], [-0.334699, 5.653982], [-0.334742, 5.654858], [-0.334699, 5.655734], [-0.334603, 5.65638], [-0.317401, 5.658117]]]}}",368,0.974,1
336,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 244, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.278047, 5.66487], [-0.273916, 5.669044], [-0.273291, 5.669125], [-0.266654, 5.665857], [-0.267414, 5.66395], [-0.268198, 5.663042], [-0.273988, 5.659965], [-0.277672, 5.660694], [-0.278722, 5.661726], [-0.278047, 5.66487]]]}}",244,0.982,1
118,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 64, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.272543, 5.558662], [-0.269978, 5.555395], [-0.272429, 5.552472], [-0.277571, 5.550577], [-0.279317, 5.550511], [-0.279579, 5.550861], [-0.280032, 5.551614], [-0.280409, 5.552407], [-0.280706, 5.553233], [-0.28092, 5.554085], [-0.28105, 5.554952], [-0.281093, 5.555829], [-0.281077, 5.55614], [-0.272543, 5.558662]]]}}",64,0.982,1
164,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 86, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.279936, 5.621731], [-0.279854, 5.621549], [-0.279897, 5.616961], [-0.280733, 5.616289], [-0.286427, 5.616328], [-0.287523, 5.619723], [-0.279936, 5.621731]]]}}",86,0.958,1
577,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 13, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.517421, 5.512449], [-0.512527, 5.509235], [-0.524495, 5.506056], [-0.524693, 5.506607], [-0.524907, 5.507458], [-0.525036, 5.508326], [-0.525079, 5.509202], [-0.525036, 5.510079], [-0.524907, 5.510947], [-0.524793, 5.511397], [-0.517421, 5.512449]]]}}",13,0.979,1
147,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 12, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.23686, 5.625747], [-0.233604, 5.629928], [-0.23089, 5.628707], [-0.234524, 5.62317], [-0.236283, 5.623289], [-0.237262, 5.623918], [-0.23686, 5.625747]]]}}",12,0.982,1
422,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 173, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.517421, 5.512449], [-0.524794, 5.511397], [-0.524989, 5.511721], [-0.525365, 5.512514], [-0.525662, 5.51334], [-0.525877, 5.514192], [-0.526006, 5.51506], [-0.526049, 5.515936], [-0.526006, 5.516812], [-0.525877, 5.51768], [-0.525662, 5.518532], [-0.525365, 5.519358], [-0.524989, 5.520151], [-0.524535, 5.520904], [-0.52401, 5.521608], [-0.523418, 5.522259], [-0.522765, 5.522848], [-0.522057, 5.523371], [-0.521301, 5.523822], [-0.520504, 5.524197], [-0.519674, 5.524492], [-0.518819, 5.524706], [-0.517947, 5.524834], [-0.517066, 5.524877], [-0.516186, 5.524834], [-0.515314, 5.524706], [-0.514458, 5.524492], [-0.513628, 5.524197], [-0.512831, 5.523822], [-0.512075, 5.523371], [-0.511367, 5.522848], [-0.510714, 5.522259], [-0.510122, 5.521608], [-0.509597, 5.520904], [-0.509144, 5.520151], [-0.509105, 5.520069], [-0.517421, 5.512449]]]}}",173,0.983,1
115,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 309, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.214756, 5.60532], [-0.214446, 5.604979], [-0.213921, 5.604274], [-0.213467, 5.603522], [-0.213091, 5.602729], [-0.212794, 5.601903], [-0.212579, 5.601052], [-0.21245, 5.600184], [-0.212419, 5.599561], [-0.221413, 5.597075], [-0.222969, 5.597533], [-0.221354, 5.602938], [-0.214756, 5.60532]]]}}",309,0.982,1
242,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 192, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.106607, 5.949763], [-0.102508, 5.943582], [-0.101414, 5.940887], [-0.101494, 5.940754], [-0.102019, 5.94005], [-0.102611, 5.9394], [-0.103264, 5.938812], [-0.103972, 5.938289], [-0.104619, 5.937904], [-0.117859, 5.946889], [-0.117774, 5.947461], [-0.11756, 5.948312], [-0.117263, 5.949138], [-0.116886, 5.94993], [-0.116631, 5.950353], [-0.106607, 5.949763]]]}}",192,0.983,1
123,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 354, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.24708, 5.597498], [-0.243618, 5.603993], [-0.239949, 5.605324], [-0.237838, 5.595716], [-0.246436, 5.594282], [-0.24708, 5.597498]]]}}",354,0.978,1
296,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 193, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.280569, 5.641256], [-0.274647, 5.642035], [-0.274185, 5.635057], [-0.27454, 5.634579], [-0.276774, 5.633647], [-0.281644, 5.638609], [-0.280569, 5.641256]]]}}",193,0.855,1
292,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 308, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.237471, 5.607131], [-0.230679, 5.606578], [-0.229022, 5.603696], [-0.229053, 5.603657], [-0.238496, 5.606405], [-0.237471, 5.607131]]]}}",308,0.421,1
116,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 305, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.233564, 5.61466], [-0.234304, 5.622992], [-0.227253, 5.620294], [-0.226915, 5.616324], [-0.23267, 5.614003], [-0.233564, 5.61466]]]}}",305,0.968,1
53.9,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 38, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.247676, 5.57136], [-0.240541, 5.573322], [-0.239665, 5.571052], [-0.242201, 5.567233], [-0.248179, 5.570267], [-0.247676, 5.57136]]]}}",38,0.983,1
111,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 34, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.26923, 5.562062], [-0.262962, 5.558376], [-0.263335, 5.556526], [-0.269978, 5.555395], [-0.272543, 5.558662], [-0.26923, 5.562062]]]}}",34,0.966,1
47.4,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 289, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.235262, 5.558224], [-0.235392, 5.561124], [-0.232812, 5.567278], [-0.232241, 5.567603], [-0.226892, 5.565754], [-0.225119, 5.563641], [-0.225334, 5.562178], [-0.23296, 5.557495], [-0.234927, 5.557785], [-0.235262, 5.558224]]]}}",289,0.833,1
103,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 322, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.168084, 5.560471], [-0.174129, 5.55665], [-0.177187, 5.558372], [-0.17722, 5.561902], [-0.171109, 5.56393], [-0.168084, 5.560471]]]}}",322,0.980,1
202,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 175, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.233125, 5.612053], [-0.230373, 5.608902], [-0.230679, 5.606578], [-0.237471, 5.607131], [-0.233125, 5.612053]]]}}",175,0.908,1
255,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 314, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.210419, 5.546333], [-0.209487, 5.546092], [-0.206649, 5.543008], [-0.209477, 5.534577], [-0.209687, 5.534608], [-0.210542, 5.534821], [-0.211372, 5.535116], [-0.212169, 5.535492], [-0.212925, 5.535943], [-0.213633, 5.536465], [-0.214286, 5.537055], [-0.214878, 5.537705], [-0.215403, 5.53841], [-0.215856, 5.539162], [-0.216233, 5.539955], [-0.21653, 5.540782], [-0.216745, 5.541633], [-0.216874, 5.542501], [-0.216879, 5.542599], [-0.216445, 5.543086], [-0.210419, 5.546333]]]}}",314,0.711,1
222,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 450, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.258658, 5.624812], [-0.249716, 5.622576], [-0.253607, 5.616303], [-0.254941, 5.616748], [-0.259774, 5.623699], [-0.258658, 5.624812]]]}}",450,0.981,1
261,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 406, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.209432, 5.558707], [-0.207358, 5.556541], [-0.210183, 5.553229], [-0.211763, 5.55266], [-0.212421, 5.552822], [-0.211738, 5.557203], [-0.209432, 5.558707]]]}}",406,0.968,1
