,site_id,sensor_id,coef_Temp,sig_Temp,cesi_level
272,342,8d163535,-0.7230147541161056,True,Low
273,342,e1ef8ec5,-0.6718335749420379,True,Low
274,343,8fd7dd69,-0.6581519845448174,True,Low
275,343,b9813476,-0.3754634044857768,True,Low
276,347,ba62e698,-1.450529403542615,True,High
277,350,3e14f026,-1.5463612591089746,True,Low
278,350,56c1c33f,-1.426391423987364,True,Low
279,350,c3ffa6c0,-1.1843010460080385,True,Low
280,351,42edd1ec,-0.7342727662662885,True,Low
281,351,8924100c,-1.676081848930846,True,Low
282,354,1fc73fdd,-1.6948235497407396,True,High
283,354,29147c4b,-1.2932858662691702,True,High
284,357,2dfc584c,-1.3028464468323944,True,High
285,357,72d7d2c2,-2.7815811346740564,True,High
286,357,fb9aa71e,-3.0376523611793673,True,High
287,363,0b4d0ed1,-0.9837124037696479,True,Low
288,363,4c0a7bdd,-0.33234171558956865,True,Low
289,363,c61b048c,-1.8204107221733128,True,Low
290,364,a68a75b8,-0.691649532249798,True,Low
291,365,ed608df7,-0.4808225393465138,True,High
292,366,6293ef33,-1.4432479228115207,True,Low
293,366,7cf6c391,0.3449728323635243,True,Low
294,367,0c80125f,-0.6291315097275794,True,High
295,370,e3297187,-1.6275436102409582,True,Low
296,375,c645d18d,-1.0186644970051835,True,High
297,376,e613fabf,-2.570766703273873,True,Low
298,378,84e56d79,-0.21180868420946644,True,Low
299,378,88fe1b20,-0.6681775725808121,True,Low
300,378,ae8f0cd1,-0.42939488767550665,True,Low
301,379,85bab310,-1.000950087374803,True,Low
302,379,c7090772,-1.177659440246709,True,Low
303,384,723ffc02,-1.5910104190388852,True,High
304,384,caa0bb67,-1.2700749720223314,True,High
305,385,5b83ce1b,-1.8263681160147494,True,Low
306,385,d2616e09,-2.025506929170696,True,Low
307,386,6427e394,-1.6564638188600211,True,Low
308,386,7fab4590,-1.6094255242921414,True,Low
309,386,f7dd986a,-1.8156215401935487,True,Low
310,387,d4352e51,-1.9143912088668344,True,High
311,389,a9a6ee6f,-0.49986989013410543,True,Low
312,389,fe93610e,-0.7689927559031154,True,Low
313,393,df311409,-1.9588404275144295,True,Low
314,394,43f49a60,-2.9752037109695477,True,Low
315,396,30caf685,-2.0166031643185875,True,High
316,396,8a46dc23,-1.2092519077940316,True,High
317,396,e5eb9aff,-1.2332292949756396,True,High
318,397,43be1996,-1.1330600078288207,True,Low
319,397,8d1902db,-0.5981647299286728,True,Low
320,398,9c3e8119,-1.2145544348199828,True,High
321,398,a8ec402a,-1.6661177121926722,True,High
322,402,4219c95c,-1.903585807996761,True,High
323,402,cbed4d62,-1.6406033810496363,True,High
324,402,f1600bc4,-1.7375355674891855,True,High
325,403,f0278e7a,-1.402358136592583,True,Low
326,404,8a4caccd,-1.6843016031412135,True,Low
327,405,120a1e6b,-1.8836882806571709,True,Low
328,406,19a0f9ce,-1.2427899786006966,True,High
329,409,38dee1e7,-1.952441575747919,True,Low
330,409,9a4289cc,-2.1479115314799464,True,Low
331,410,3086f018,-0.7260719483208191,True,Low
332,410,69478731,-0.38098110971042587,True,Low
333,410,deb67949,-0.8132948450262225,True,Low
334,411,4ccea316,-0.46587977984103257,True,Low
335,415,e5737bda,-0.356550185780116,True,Low
336,417,0f6ff93e,-0.8270691620936792,True,Low
337,417,a1774c62,-1.7735588758330392,True,Low
338,421,7b2f5fdd,-1.0029868674811735,True,Low
339,421,a1380573,-0.9454260217602936,True,Low
340,429,6d38b80c,-1.7065880495045747,True,High
341,430,4ed3eb90,-0.8323654907713243,True,Low
342,430,6dfc35c4,-0.8557198879967808,True,Low
343,431,9934d639,-2.063205237438078,True,High
344,433,9d298767,-0.994770509484981,True,Low
345,438,f070cc1a,-1.017028776450544,True,Low
346,441,9d917698,-0.489296068357734,True,Low
347,445,687ac80b,-0.958020383192165,True,Low
348,445,f77bdec3,-0.839373554269478,True,Low
349,446,f05aa0c3,-0.9934188885343197,True,High
350,449,2e53b37a,-1.7172092310833031,True,Low
351,449,3f56ce43,-1.582345735484038,True,Low
352,449,d36cc3b1,-0.9083900531691261,True,Low
353,450,44f48546,-1.2360444699504862,True,High
354,450,d08f17f9,-1.9678484304201147,True,High
355,450,e52ff15f,-1.724880632392095,True,High
356,451,4bf131ab,-0.9196461964394631,True,High
357,452,2997b46b,-1.4526605462468694,True,Low
358,453,2c8ea06e,-1.5462215092505518,True,Low
359,453,fc856d41,-1.6385210756446158,True,Low
